name,value
Ly,0.01
Eb_Pb,5
n_s,125
Koff_1_Ma,0.002777777777777777
E,0
Eb_Pa,5
Lz,0.01
K,0
Eb_Pab,0
V_Ma,0.05
gamma,0
act,0
eta,0
D_Ma,0.001
G,0
